18:33:54	DROP DATABASE `dojo_and_ninjas`	2 row(s) affected	0.828 sec

18:42:37	INSERT INTO dojos (name)  VALUES("the great kai dojo")	Error Code: 1046. No database selected Select the default DB to be used by double-clicking its name in the SCHEMAS list in the sidebar.	0.063 sec

18:43:07	INSERT INTO dojos (name)  VALUES("the great kai dojo")	1 row(s) affected	0.187 sec

18:44:17	select * from dojos LIMIT 0, 1000	1 row(s) returned	0.031 sec / 0.000 sec

18:46:16	insert INTO dojos (name) values ("time chamber")	1 row(s) affected	0.093 sec

18:47:02	select * from dojos LIMIT 0, 1000	2 row(s) returned	0.000 sec / 0.000 sec

18:47:13	INSERT INTO dojos (name)  VALUES("the great kai dojo")	1 row(s) affected	0.094 sec

18:47:13	insert INTO dojos (name) values ("time chamber")	1 row(s) affected	0.046 sec

18:47:13	select * from dojos LIMIT 0, 1000	4 row(s) returned	0.000 sec / 0.000 sec

18:48:56	insert into dojos (name) values ("fury fist")	1 row(s) affected	0.110 sec

18:49:05	select * from dojos LIMIT 0, 1000	5 row(s) returned	0.000 sec / 0.000 sec

18:57:35	delete FROM dojos where id=3	1 row(s) affected	0.078 sec

18:58:12	delete FROM dojos where id=4	1 row(s) affected	0.078 sec

18:58:36	select * from dojos LIMIT 0, 1000	3 row(s) returned	0.000 sec / 0.000 sec

19:02:57	delete FROM dojos where id=2	1 row(s) affected	0.093 sec

19:03:08	insert into dojos (name) values ("Goku")	1 row(s) affected	0.078 sec

19:04:37	insert into dojos (name) values ("Vegeta")	1 row(s) affected	0.110 sec

19:11:17	insert into dojos (name) values ("krillin")	1 row(s) affected	0.078 sec

19:11:53	select * from dojos LIMIT 0, 1000	5 row(s) returned	0.000 sec / 0.000 sec

19:14:27	insert into ninjas (first_name,last_name,age,dojos_id) values ("Goku")	Error Code: 1136. Column count doesn't match value count at row 1	0.000 sec

19:16:23	select * from dojos LIMIT 0, 1000	5 row(s) returned	0.000 sec / 0.000 sec

19:17:06	insert into ninjas (first_name,last_name,age,dojos_id) values ("Goku","kakarot",37,1)	1 row(s) affected	0.078 sec

19:17:51	select * from ninjas LIMIT 0, 1000	1 row(s) returned	0.000 sec / 0.000 sec

19:25:25	insert into ninjas (first_name,last_name,age,dojos_id) values ("Ichigo","Bleach",20,1)	1 row(s) affected	0.078 sec

19:25:32	insert into ninjas (first_name,last_name,age,dojos_id) values ("buu","uub",1,1)	1 row(s) affected	0.078 sec

19:25:46	select * from ninjas LIMIT 0, 1000	3 row(s) returned	0.000 sec / 0.000 sec

19:28:45	insert into ninjas (first_name,last_name,age,dojos_id) values ("bastia","bomb",30,2)	Error Code: 1452. Cannot add or update a child row: a foreign key constraint fails (`dojo_and_ninjas`.`ninjas`, CONSTRAINT `fk_ninjas_dojos` FOREIGN KEY (`dojos_id`) REFERENCES `dojos` (`id`))	0.063 sec

19:30:00	select * from dojos LIMIT 0, 1000	5 row(s) returned	0.000 sec / 0.000 sec

19:30:47	insert into ninjas (first_name,last_name,age,dojos_id) values ("bastia","bomb",30,5)	1 row(s) affected	0.094 sec

